timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820066,node,pselect6,1,1001033.00,1001033,1001033,1001033,1001033,1001033,0,0,0.0000
1768820066,node,sendto,2,57.50,61,61,61,61,115,40,0,0.0000
1768820067,node,sched_lat,9790,13.16,14005,6,16,45,128809,0,0,0.0000
1768820067,node,epoll_pwait,2857,5397.46,8476018,0,3081,21079,15420531,0,0,0.0000
1768820067,node,read,12,116023.08,1387852,209,1387852,1387852,1392277,5156,0,0.0000
1768820067,node,futex,253,33723.14,1000098,6,100073,999972,8531955,0,56,0.2213
1768820067,node,softirq,3258,4.38,201,0,19,68,14285,15008,0,0.0000
1768820067,node,runqlen,64,0.00,0,0,0,0,0,511800,0,0.0000
1768820067,node,nanosleep,245,41054.71,4000087,233,10109,1000083,10058404,0,0,0.0000
1768820067,node,connect,3,84.67,108,76,108,108,254,0,3,1.0000
1768820067,node,dstate_io,19,161.11,761,117,761,761,3061,0,0,0.0000
1768820067,node,epoll_wait,138,60582.63,1001034,56625,100166,372399,8360403,0,0,0.0000
1768820067,node,select,43,55113.23,1001038,1,152057,1001038,2369869,0,0,0.0000
1768820067,node,ppoll,3,154717.33,208019,169521,208019,208019,464152,0,3,1.0000
1768820067,node,poll,2101,6125.09,5378302,1,1,160,12868815,0,0,0.0000
1768820067,node,write,1,101.00,101,101,101,101,101,66,0,0.0000
1768820067,node,pselect6,1,1001051.00,1001051,1001051,1001051,1001051,1001051,0,0,0.0000
1768820067,node,io_qdepth,14,0.00,0,0,0,0,0,463,0,0.0000
1768820067,node,block_io,13,184.46,368,198,368,368,2398,98304,0,0.0000
1768820067,node,fsync,1,1214.00,1214,1214,1214,1214,1214,0,0,0.0000
1768820067,node,sendto,2,64.50,73,73,73,73,129,40,0,0.0000
1768820067,node,fdatasync,3,428.00,511,475,511,511,1284,0,0,0.0000
1768820067,node,recvmsg,1,9999450.00,9999450,9999450,9999450,9999450,9999450,16,0,0.0000
1768820067,node,sendmsg,1,67.00,67,67,67,67,67,323,0,0.0000
1768820068,node,sched_lat,14918,15.03,8038,6,16,47,224281,0,0,0.0000
1768820068,node,futex,281,38702.75,1309225,39,99942,1000081,10875472,0,30,0.1068
1768820068,node,read,19,653.89,4273,266,4273,4273,12424,11002,0,0.0000
1768820068,node,softirq,4233,4.41,177,1,18,50,18674,20373,0,0.0000
1768820068,node,runqlen,65,0.00,0,0,0,0,0,555102,0,0.0000
1768820068,node,recvmsg,5,2000193.00,10000724,63,10000724,10000724,10000965,28576,0,0.0000
1768820068,node,nanosleep,1360,7942.32,4000079,90,10082,10095,10801559,0,0,0.0000
1768820068,node,epoll_pwait,1061,39877.65,10039146,0,8081,415619,42310190,0,0,0.0000
1768820068,node,connect,3,82.00,84,82,84,84,246,0,3,1.0000
1768820068,node,dstate_io,51,88.73,656,34,288,656,4525,0,0,0.0000
1768820068,node,poll,4324,3245.30,4000035,1,1,2,14032657,0,0,0.0000
1768820068,node,epoll_wait,188,49561.35,1220331,218,100163,1000593,9317534,0,0,0.0000
1768820068,node,io_qdepth,28,0.00,0,0,0,0,0,919,0,0.0000
1768820068,node,select,14,229585.07,1001242,1,1001242,1001242,3214191,0,0,0.0000
